Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Enterobacter cloacae ( 550 ),Enterobacter ( 547 ),54364,7228,10668,10.23,7.53,691.57,719.74,3.41,7.30,44.26,182.64
Bacteria,Enterobacter hormaechei ( 158836 ),Enterobacter ( 547 ),8717,1194,10668,2.88,7.53,2.55,719.74,52.11,7.30,22.78,182.64
Viruses,Human herpesvirus 5 ( 10359 ),Cytomegalovirus ( 10358 ),2114,32,21,50.02,0.04,0.22,0.22,99.00,99.00,0.22,0.22
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),499,384,118,4.69,1.42,44.73,46.16,11.27,1.15,15.53,17.43
Bacteria,Enterobacter asburiae ( 61645 ),Enterobacter ( 547 ),313,41,10668,1.84,7.53,21.22,719.74,0.97,7.30,2.80,182.64
Bacteria,Enterobacter sp. 638 ( 399742 ),Enterobacter ( 547 ),219,30,10668,0.06,7.53,0.60,719.74,2.86,7.30,10.48,182.64
Bacteria,Enterobacter sp. SRE01 ( 1488277 ),Enterobacter ( 547 ),129,17,10668,100.00,7.53,0.17,719.74,0.00,7.30,0.00,182.64
Bacteria,Enterobacter xiangfangensis ( 1296536 ),Enterobacter ( 547 ),128,17,10668,99.00,7.53,0.17,719.74,0.00,7.30,0.00,182.64
Bacteria,Enterobacter sp. CD01 ( 1233073 ),Enterobacter ( 547 ),97,12,10668,100.00,7.53,0.13,719.74,0.00,7.30,0.00,182.64
Bacteria,Enterobacter sp. ECC_48 ( 547703 ),Enterobacter ( 547 ),97,12,10668,100.00,7.53,0.13,719.74,0.00,7.30,0.00,182.64
Bacteria,Enterobacter cancerogenus ( 69218 ),Enterobacter ( 547 ),68,9,10668,40.09,7.53,0.22,719.74,0.67,7.30,0.65,182.64
Bacteria,Enterobacter sp. CN1 ( 866623 ),Enterobacter ( 547 ),64,8,10668,100.00,7.53,0.09,719.74,0.00,7.30,0.00,182.64
Panarthropoda,Plutella xylostella ( 51655 ),Plutella ( 51654 ),44,10,10,4.24,4.24,2.50,2.50,0.00,0.00,0.00,0.00
Bacteria,Enterobacter lignolyticus ( 1334193 ),Enterobacter ( 547 ),36,5,10668,0.63,7.53,0.73,719.74,4.58,7.30,0.99,182.64
Bacteria,Enterobacter sp. ECC_124 ( 547632 ),Enterobacter ( 547 ),32,4,10668,100.00,7.53,0.04,719.74,0.00,7.30,0.00,182.64
Bacteria,Enterobacter sp. ECC_60 ( 547717 ),Enterobacter ( 547 ),32,4,10668,100.00,7.53,0.04,719.74,0.00,7.30,0.00,182.64
