Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),310,3,56,0.59,0.59,0.56,0.56,100.00,100.00,0.03,0.03
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,1.69,1.69,0.06,0.06,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.78,0.78,0.09,0.09,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.09,0.08,0.09,0.09,0.00,0.00,0.00,0.00
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Artificial Sequences,Cloning vector pAM120 ( 46449 ),No genus ( -1 ),0,0,0,-0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),0,0,0,-0.10,-0.11,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,Haemophilus parasuis ( 738 ),Haemophilus ( 724 ),0,0,0,-0.21,-0.11,0.03,2.20,0.00,-0.18,0.00,0.78
Bacteria,Delftia sp. Cs1-4 ( 742013 ),Delftia ( 80865 ),0,0,0,-0.20,-0.11,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,Streptococcus sanguinis ( 1305 ),Streptococcus ( 1301 ),0,0,-1,-0.16,-0.18,0.03,2.95,0.00,-0.23,0.00,0.59
Bacteria,Fusobacterium nucleatum ( 851 ),Fusobacterium ( 848 ),0,0,0,-0.17,-0.17,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,Streptococcus intermedius ( 1338 ),Streptococcus ( 1301 ),0,0,-1,-0.17,-0.18,0.03,2.95,0.00,-0.23,0.00,0.59
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),0,0,0,-0.14,-0.24,0.03,0.62,0.00,-0.33,0.00,0.31
Bacteria,Lysinibacillus sp. 13S34_air ( 1461583 ),Lysinibacillus ( 400634 ),0,0,0,-0.17,-0.20,0.03,0.03,0.00,0.00,0.00,0.00
