Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Alloprevotella rava ( 671218 ),Alloprevotella ( 1283313 ),8905,3761,10,100.00,28.01,0.34,0.34,99.00,2.13,37.65,49.86
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),774,582,244,5.35,1.79,63.50,98.85,10.57,0.69,23.00,90.30
Bacteria,Prevotella salivae ( 228604 ),Prevotella ( 838 ),51,52,244,99.00,1.79,0.14,98.85,6.41,0.69,6.17,90.30
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),33,24,244,0.71,1.79,21.30,98.85,6.74,0.69,1.42,90.30
Bacteria,Prevotella denticola ( 28129 ),Prevotella ( 838 ),19,11,244,2.14,1.79,5.02,98.85,0.86,0.69,0.61,90.30
Bacteria,Prevotella disiens ( 28130 ),Prevotella ( 838 ),14,9,244,100.00,1.79,0.07,98.85,1.29,0.69,2.24,90.30
Bacteria,Prevotella sp. oral clone BU035 ( 163561 ),Prevotella ( 838 ),12,6,244,100.00,1.79,0.07,98.85,0.00,0.69,0.00,90.30
Bacteria,Prevotella sp. Sc00028 ( 1231728 ),Prevotella ( 838 ),12,6,244,99.00,1.79,0.07,98.85,0.00,0.69,0.00,90.30
Bacteria,Prevotella bryantii ( 77095 ),Prevotella ( 838 ),12,6,244,99.00,1.79,0.07,98.85,-0.08,0.69,0.14,90.30
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),8,32,5,1.02,0.22,11.33,11.87,3.78,0.27,5.63,6.45
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),8,1,1,6.34,6.34,0.20,0.20,0.00,0.00,0.00,0.00
Bacteria,Prevotella oris ( 28135 ),Prevotella ( 838 ),6,9,244,5.21,1.79,0.07,98.85,2.48,0.69,3.73,90.30
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),6,6,1,6.50,1.04,0.95,0.95,1.49,0.90,0.20,0.75
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),6,38,29,-0.01,-0.04,91.32,229.51,0.77,0.17,51.36,97.83
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),6,3,3,1.91,1.91,1.76,1.76,0.00,0.00,0.00,0.00
Bacteria,Streptococcus pseudopneumoniae ( 257758 ),Streptococcus ( 1301 ),3,98,29,0.98,-0.04,62.28,229.51,10.34,0.17,3.60,97.83
Bacteria,Prevotella intermedia ( 28131 ),Prevotella ( 838 ),2,1,244,0.29,1.79,5.83,98.85,-0.13,0.69,0.34,90.30
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),2,16,29,0.04,-0.04,55.29,229.51,0.55,0.17,25.44,97.83
Bacteria,Prevotella nigrescens ( 28133 ),Prevotella ( 838 ),2,1,244,4.14,1.79,0.27,98.85,0.10,0.69,1.76,90.30
Bacteria,Prevotella dentalis ( 52227 ),Prevotella ( 838 ),1,1,244,0.51,1.79,2.10,98.85,-0.08,0.69,0.27,90.30
Bacteria,Prevotella loescheii ( 840 ),Prevotella ( 838 ),1,1,244,8.71,1.79,0.07,98.85,1.11,0.69,0.54,90.30
Bacteria,Campylobacter concisus ( 199 ),Campylobacter ( 194 ),1,1,1,0.08,-0.09,2.51,2.58,1.56,0.64,1.15,1.76
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.93,0.93,0.81,0.81,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Synechococcus phage ACG-2014f ( 1493511 ),T4likevirus ( 10663 ),0,6,0,100.00,0.08,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Porphyromonas gingivalis ( 837 ),Porphyromonas ( 836 ),0,0,2,-0.03,-0.08,2.92,3.32,0.61,0.91,0.95,12.48
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,1.23,1.20,0.34,0.34,0.00,0.00,0.00,0.00
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),0,4,3,0.91,0.09,4.95,9.16,-0.02,0.31,1.02,8.48
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),0,4,3,2.50,0.09,1.63,9.16,-0.03,0.31,0.14,8.48
Viruses,Human herpesvirus 4 ( 10376 ),Lymphocryptovirus ( 10375 ),0,0,0,0.35,0.35,0.07,0.07,2.00,2.00,0.07,0.07
Bacteria,Halobacteroides halobius ( 42422 ),Halobacteroides ( 42417 ),0,0,0,2.02,2.02,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),0,3,0,-0.04,-0.08,9.23,9.29,0.97,0.06,3.93,4.00
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),0,1,29,0.05,-0.04,2.58,229.51,0.84,0.17,1.09,97.83
Bacteria,Dehalobacter sp. DCA ( 1147129 ),Dehalobacter ( 56112 ),0,0,0,1.58,0.95,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),0,0,3,0.74,0.09,1.15,9.16,0.05,0.31,0.20,8.48
