Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),8290,188,366,5.04,4.99,6.41,6.41,61.08,52.14,2.55,2.55
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),6,25,1,8.02,0.24,1.93,2.16,8.87,0.26,1.08,1.13
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,1.49,1.47,0.40,0.40,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.71,0.71,0.85,0.85,0.00,0.00,0.00,0.00
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),0,0,1,1.48,0.24,0.23,2.16,5.16,0.26,0.06,1.13
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,1.05,1.05,0.11,0.11,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.16,0.16,0.23,0.23,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,0.12,0.10,0.17,0.17,0.00,0.00,0.00,0.00
Bacteria,Streptococcus oralis ( 1303 ),Streptococcus ( 1301 ),0,0,0,-0.20,-0.18,0.06,0.06,0.00,0.00,0.00,0.00
Fungi,Aspergillus flavus ( 5059 ),Aspergillus ( 5052 ),0,0,0,-0.22,-0.33,0.06,0.34,0.00,-0.33,0.00,0.11
Bacteria,Corynebacterium doosanense ( 1121358 ),Corynebacterium ( 1716 ),0,0,0,-0.39,-0.24,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Rhodopseudomonas palustris ( 1076 ),Rhodopseudomonas ( 1073 ),0,0,0,-0.33,-0.33,0.06,0.06,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.26,-0.27,0.11,0.11,0.00,0.00,0.00,0.00
Bacteria,Methylobacterium extorquens ( 408 ),Methylobacterium ( 407 ),0,0,0,-0.29,-0.33,0.11,0.11,0.00,0.00,0.00,0.00
Fungi,Aspergillus oryzae ( 5062 ),Aspergillus ( 5052 ),0,0,0,-0.15,-0.33,0.28,0.34,-0.29,-0.33,0.11,0.11
