Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viridiplantae (green plants),Adiantum tetraphyllum ( 451082 ),Adiantum ( 13817 ),486,4,4,100.00,100.00,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.76,0.76,0.68,0.68,0.00,0.00,0.00,0.00
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),0,1,1,0.26,0.12,7.24,8.85,0.06,0.02,1.60,3.26
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.44,0.44,0.63,0.63,0.39,0.39,0.05,0.05
Mammalia,Callithrix jacchus ( 9483 ),Callithrix ( 9481 ),0,0,0,0.70,0.70,0.05,0.05,0.00,0.00,0.00,0.00
Fungi,Meyerozyma guilliermondii ( 4929 ),Meyerozyma ( 766728 ),0,0,0,0.39,0.39,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,0.17,0.17,0.15,0.15,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Phoenix dactylifera ( 42345 ),Phoenix ( 4719 ),0,0,0,0.25,0.25,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.18,0.18,0.05,0.05,0.00,0.00,0.00,0.00
Unclassified Sequence (synthetic),uncultured organism ( 155900 ),No genus ( -1 ),0,0,0,-0.28,0.00,0.05,0.00,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.29,0.00,0.00,0.00,0.00,0.00
Bacteria,Aggregatibacter actinomycetemcomitans ( 714 ),Aggregatibacter ( 416916 ),0,0,0,-0.02,-0.10,0.10,0.29,0.00,-0.14,0.00,0.15
Bacteria,Gallibacterium anatis ( 750 ),Gallibacterium ( 155493 ),0,0,0,-0.07,-0.08,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Psychromonas sp. CNPT3 ( 314282 ),Psychromonas ( 67572 ),0,0,0,-0.09,-0.11,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,-0.07,-0.08,0.10,0.10,0.00,0.00,0.00,0.00
Bacteria,Mucinivorans hirudinis ( 1433126 ),Mucinivorans ( 1611681 ),0,0,0,-0.11,-0.11,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,-0.11,-0.12,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Clostridium pasteurianum ( 1501 ),Clostridium ( 1485 ),0,0,0,-0.09,-0.18,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Shigella boydii ( 621 ),Shigella ( 620 ),0,0,0,-0.12,-0.14,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,uncultured Neisseria sp. ( 237778 ),Neisseria ( 482 ),0,0,0,-0.16,-0.11,0.05,3.94,0.00,-0.09,0.00,3.31
Bacteria,Bacteroides helcogenes ( 290053 ),Bacteroides ( 816 ),0,0,0,-0.11,-0.17,0.05,0.15,0.00,-0.28,0.00,0.05
Bacteria,Mannheimia haemolytica ( 75985 ),Mannheimia ( 75984 ),0,0,0,-0.13,-0.16,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Photorhabdus luminescens ( 29488 ),Photorhabdus ( 29487 ),0,0,0,-0.14,-0.16,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Streptococcus dentisani ( 1458253 ),Streptococcus ( 1301 ),0,0,-4,-0.13,-0.17,0.05,10.70,0.00,-0.22,0.00,3.45
Mammalia,Papio anubis ( 9555 ),Papio ( 9554 ),0,0,0,-0.16,-0.16,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Streptococcus intermedius ( 1338 ),Streptococcus ( 1301 ),0,0,-4,-0.17,-0.17,0.05,10.70,0.00,-0.22,0.00,3.45
Bacteria,Streptococcus lutetiensis ( 150055 ),Streptococcus ( 1301 ),0,0,-4,-0.17,-0.17,0.05,10.70,0.00,-0.22,0.00,3.45
Bacteria,Parvimonas micra ( 33033 ),Parvimonas ( 543311 ),0,0,0,-0.17,-0.17,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,uncultured Prevotella sp. ( 159272 ),Prevotella ( 838 ),0,0,0,-0.15,-0.21,0.05,0.73,0.00,-0.15,0.00,1.12
Bacteria,Streptococcus constellatus ( 76860 ),Streptococcus ( 1301 ),0,0,-4,-0.18,-0.17,0.05,10.70,0.00,-0.22,0.00,3.45
Bacteria,Ruminococcus bromii ( 40518 ),Ruminococcus ( 1263 ),0,0,0,-0.23,-0.13,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium resistens ( 258224 ),Corynebacterium ( 1716 ),0,0,0,-0.14,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Prevotella dentalis ( 52227 ),Prevotella ( 838 ),0,0,0,-0.18,-0.21,0.05,0.73,0.00,-0.15,0.00,1.12
Bacteria,Pasteurella multocida ( 747 ),Pasteurella ( 745 ),0,0,0,-0.20,-0.20,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium ulcerans ( 65058 ),Corynebacterium ( 1716 ),0,0,0,-0.19,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Formosa agariphila ( 320324 ),Formosa ( 225842 ),0,0,0,-0.21,-0.21,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,uncultured Enterococcus sp. ( 167972 ),Enterococcus ( 1350 ),0,0,0,-0.21,-0.23,0.05,0.05,0.00,0.00,0.00,0.00
Fungi,Marssonina brunnea ( 698440 ),Marssonina ( 324777 ),0,0,0,-0.23,-0.23,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Bacteroides fragilis ( 817 ),Bacteroides ( 816 ),0,0,0,-0.15,-0.17,0.10,0.15,0.00,-0.28,0.00,0.05
Bacteria,Corynebacterium argentoratense ( 42817 ),Corynebacterium ( 1716 ),0,0,0,-0.23,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Porphyromonas gingivalis ( 837 ),Porphyromonas ( 836 ),0,0,0,-0.16,-0.18,0.10,0.10,0.00,-0.27,0.00,0.58
Bacteria,Campylobacter concisus ( 199 ),Campylobacter ( 194 ),0,0,0,-0.10,-0.19,0.15,0.15,0.00,0.00,0.00,0.00
Bacteria,Aggregatibacter aphrophilus ( 732 ),Aggregatibacter ( 416916 ),0,0,0,-0.10,-0.10,0.19,0.29,-0.12,-0.14,0.05,0.15
Bacteria,Shewanella violacea ( 60217 ),Shewanella ( 22 ),0,0,0,0.32,-0.18,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Streptococcus oligofermentans ( 195041 ),Streptococcus ( 1301 ),0,0,-4,-0.17,-0.17,0.10,10.70,0.00,-0.22,0.00,3.45
Bacteria,Streptococcus sp. I-G2 ( 1156431 ),Streptococcus ( 1301 ),0,0,-4,-0.18,-0.17,0.10,10.70,0.00,-0.22,0.00,3.45
Bacteria,Prevotella denticola ( 28129 ),Prevotella ( 838 ),0,0,0,-0.30,-0.21,0.05,0.73,0.00,-0.15,0.00,1.12
Bacteria,Lacinutrix sp. 5H-3-7-4 ( 983544 ),Lacinutrix ( 291183 ),0,0,0,-0.25,-0.25,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Staphylococcus epidermidis ( 1282 ),Staphylococcus ( 1279 ),0,0,0,-0.24,-0.26,0.05,0.05,0.00,0.00,0.00,0.00
Fungi,Cordyceps militaris ( 73501 ),Cordyceps ( 45234 ),0,0,0,-0.27,-0.25,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium marinum ( 349751 ),Corynebacterium ( 1716 ),0,0,0,-0.31,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Corynebacterium halotolerans ( 225326 ),Corynebacterium ( 1716 ),0,0,0,-0.31,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Pseudomonas fluorescens ( 294 ),Pseudomonas ( 286 ),0,0,0,-0.25,-0.29,0.05,0.05,0.00,-0.39,0.00,0.05
Bacteria,Streptococcus agalactiae ( 1311 ),Streptococcus ( 1301 ),0,0,-4,-0.17,-0.17,0.05,10.70,-0.20,-0.22,0.05,3.45
Bacteria,Neisseria perflava ( 33053 ),Neisseria ( 482 ),0,0,0,0.67,-0.11,0.05,3.94,0.00,-0.09,0.00,3.31
Bacteria,Planococcus sp. PAMC 21323 ( 1526927 ),Planococcus ( 1372 ),0,0,0,-0.29,-0.26,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium ureicelerivorans ( 401472 ),Corynebacterium ( 1716 ),0,0,0,-0.34,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Streptococcus sp. I-P16 ( 1156433 ),Streptococcus ( 1301 ),0,0,-4,-0.23,-0.17,0.10,10.70,0.00,-0.22,0.00,3.45
Bacteria,Kytococcus sedentarius ( 1276 ),Kytococcus ( 57499 ),0,0,0,-0.28,-0.29,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Nakamurella multipartita ( 53461 ),Nakamurella ( 53460 ),0,0,0,-0.29,-0.29,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium singulare ( 161899 ),Corynebacterium ( 1716 ),0,0,0,-0.37,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Corynebacterium doosanense ( 1121358 ),Corynebacterium ( 1716 ),0,0,0,-0.39,-0.23,0.05,1.22,0.00,-0.15,0.00,3.65
Bacteria,Rathayibacter toxicus ( 145458 ),Rathayibacter ( 33886 ),0,0,0,-0.32,-0.31,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),0,0,0,-0.11,-0.11,0.39,3.94,0.00,-0.09,0.00,3.31
Bacteria,Burkholderia gladioli ( 28095 ),Burkholderia ( 32008 ),0,0,0,-0.31,-0.34,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Streptococcus anginosus ( 1328 ),Streptococcus ( 1301 ),0,0,-4,-0.21,-0.17,0.15,10.70,0.00,-0.22,0.00,3.45
Bacteria,Prevotella intermedia ( 28131 ),Prevotella ( 838 ),0,0,0,-0.26,-0.21,0.10,0.73,0.00,-0.15,0.00,1.12
Bacteria,Cupriavidus necator ( 106590 ),Cupriavidus ( 106589 ),0,0,0,-0.34,-0.33,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),0,0,0,-0.14,-0.14,0.05,0.05,-0.37,-0.25,0.05,0.05
Bacteria,Corynebacterium glutamicum ( 1718 ),Corynebacterium ( 1716 ),0,0,0,-0.25,-0.23,0.10,1.22,0.00,-0.15,0.00,3.65
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.22,-0.14,0.19,0.39,0.00,0.00,0.00,0.00
Bacteria,Microbacterium testaceum ( 2033 ),Microbacterium ( 33882 ),0,0,0,-0.35,-0.36,0.05,0.05,0.00,-0.38,0.00,0.05
Bacteria,Corynebacterium aurimucosum ( 169292 ),Corynebacterium ( 1716 ),0,0,0,-0.27,-0.23,0.10,1.22,0.00,-0.15,0.00,3.65
Bacteria,Neorhizobium galegae ( 399 ),Neorhizobium ( 1525371 ),0,0,0,-0.36,-0.36,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Magnetospirillum gryphiswaldense ( 55518 ),Magnetospirillum ( 13134 ),0,0,0,-0.35,-0.38,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Aromatoleum aromaticum ( 551760 ),Aromatoleum ( 551759 ),0,0,0,-0.36,-0.36,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Streptococcus gordonii ( 1302 ),Streptococcus ( 1301 ),0,0,-4,-0.12,-0.17,0.19,10.70,-0.24,-0.22,0.05,3.45
Bacteria,Streptococcus sanguinis ( 1305 ),Streptococcus ( 1301 ),0,0,-4,-0.16,-0.17,0.05,10.70,-0.26,-0.22,0.10,3.45
Bacteria,Corynebacterium callunae ( 1721 ),Corynebacterium ( 1716 ),0,0,0,-0.32,-0.23,0.10,1.22,0.00,-0.15,0.00,3.65
Bacteria,Corynebacterium casei ( 160386 ),Corynebacterium ( 1716 ),0,0,0,-0.34,-0.23,0.10,1.22,0.00,-0.15,0.00,3.65
Bacteria,Aeromonas hydrophila ( 644 ),Aeromonas ( 642 ),0,0,0,-0.47,-0.34,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,0,0,1.22,-0.14,0.05,0.39,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium diphtheriae ( 1717 ),Corynebacterium ( 1716 ),0,0,0,-0.26,-0.23,0.15,1.22,0.00,-0.15,0.00,3.65
Bacteria,Corynebacterium camporealensis ( 161896 ),Corynebacterium ( 1716 ),0,0,0,-0.27,-0.23,0.15,1.22,0.00,-0.15,0.00,3.65
Bacteria,Corynebacterium urealyticum ( 43771 ),Corynebacterium ( 1716 ),0,0,0,-0.28,-0.23,0.15,1.22,0.00,-0.15,0.00,3.65
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),0,0,1,-0.05,0.12,1.60,8.85,-0.07,0.02,0.53,3.26
Bacteria,Leptotrichia buccalis ( 40542 ),Leptotrichia ( 32067 ),0,0,0,-0.34,-0.35,0.05,0.05,-0.23,-0.39,0.05,0.05
Bacteria,Streptomyces albus ( 1888 ),Streptomyces ( 1883 ),0,0,0,-0.43,-0.53,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Gardnerella vaginalis ( 2702 ),Gardnerella ( 2701 ),0,0,0,-0.23,-0.23,0.15,0.15,-0.20,-0.20,0.10,0.10
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),0,0,-4,-0.19,-0.17,0.39,10.70,0.00,-0.22,0.00,3.45
Bacteria,Fusobacterium nucleatum ( 851 ),Fusobacterium ( 848 ),0,0,0,-0.16,-0.16,0.44,0.49,-0.33,-0.31,0.05,0.24
Bacteria,Veillonella parvula ( 29466 ),Veillonella ( 29465 ),0,0,0,-0.18,-0.18,0.34,0.34,-0.28,-0.24,0.10,0.10
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),0,0,0,0.04,-0.11,1.75,3.94,-0.18,-0.09,0.58,3.31
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),0,0,0,0.25,-0.11,0.68,3.94,-0.07,-0.09,0.15,3.31
Bacteria,Streptococcus pseudopneumoniae ( 257758 ),Streptococcus ( 1301 ),0,0,-4,-0.15,-0.17,0.83,10.70,-0.09,-0.22,0.05,3.45
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),0,0,0,-0.22,-0.21,0.49,0.73,-0.20,-0.15,0.10,1.12
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),0,0,0,1.93,-0.14,0.15,0.39,0.00,0.00,0.00,0.00
Bacteria,Streptococcus sp. VT 162 ( 1419814 ),Streptococcus ( 1301 ),0,0,-4,-0.11,-0.17,2.72,10.70,0.00,-0.22,0.00,3.45
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),0,0,-4,-0.15,-0.17,1.51,10.70,-0.16,-0.22,0.92,3.45
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),0,0,-4,-0.18,-0.17,1.56,10.70,-0.17,-0.22,0.83,3.45
Bacteria,Streptococcus oralis ( 1303 ),Streptococcus ( 1301 ),0,0,-4,-0.18,-0.17,2.77,10.70,-0.08,-0.22,0.34,3.45
Bacteria,Fusobacterium hwasookii ( 1583098 ),Fusobacterium ( 848 ),0,0,0,17.20,-0.16,0.05,0.49,0.00,-0.31,0.00,0.24
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),0,1,0,1.39,-0.11,1.02,3.94,-0.15,-0.09,0.05,3.31
