Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viridiplantae (green plants),Pinus taeda ( 3352 ),Pinus ( 3337 ),15,8,8,1.77,1.79,4.79,5.00,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Pinus taiwanensis ( 261914 ),Pinus ( 3337 ),7,4,8,100.00,1.79,0.04,5.00,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Pinus resinosa ( 54921 ),Pinus ( 3337 ),7,4,8,100.00,1.79,0.04,5.00,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Pinus kesiya ( 71636 ),Pinus ( 3337 ),7,4,8,100.00,1.79,0.04,5.00,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Pinus canariensis ( 49510 ),Pinus ( 3337 ),7,4,8,99.00,1.79,0.04,5.00,0.00,0.00,0.00,0.00
Viridiplantae (green plants),Pinus thunbergii ( 3350 ),Pinus ( 3337 ),5,3,8,77.74,1.79,0.04,5.00,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.35,0.35,0.37,0.37,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,1.02,1.02,0.04,0.04,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.65,0.65,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.43,0.42,0.17,0.17,0.00,0.00,0.00,0.00
Bacteria,Comamonadaceae bacterium A1 ( 1458425 ),No genus ( -1 ),0,0,0,-0.31,0.00,0.04,0.00,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.04,0.00,0.00,0.00,0.00,0.00
Bacteria,Gallibacterium anatis ( 750 ),Gallibacterium ( 155493 ),0,0,0,-0.09,-0.10,0.04,0.04,0.00,0.00,0.00,0.00
Bacteria,Ochrobactrum anthropi ( 529 ),Ochrobactrum ( 528 ),0,0,0,-0.10,-0.10,0.04,0.04,0.00,0.00,0.00,0.00
Bacteria,Paracoccus marcusii ( 59779 ),Paracoccus ( 265 ),0,0,0,-0.02,-0.42,0.04,0.12,0.00,-0.39,0.00,0.08
Bacteria,Delftia acidovorans ( 80866 ),Delftia ( 80865 ),0,0,0,-0.11,-0.11,0.04,0.08,0.00,0.00,0.00,0.00
Bacteria,Raoultella ornithinolytica ( 54291 ),Raoultella ( 160674 ),0,0,0,-0.12,-0.15,0.04,0.04,0.00,0.00,0.00,0.00
Bacteria,Acinetobacter sp. ADP1 ( 62977 ),Acinetobacter ( 469 ),0,0,0,-0.13,-0.13,0.04,0.50,0.00,-0.13,0.00,0.66
Panarthropoda,Dendroctonus ponderosae ( 77166 ),Dendroctonus ( 77156 ),0,0,0,-0.14,-0.14,0.04,0.04,0.00,0.00,0.00,0.00
