Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Pseudomonas aeruginosa ( 287 ),Pseudomonas ( 286 ),142824,45373,16947,14.15,2.88,2447.20,2463.63,13.10,3.99,820.81,1191.96
Bacteria,Stenotrophomonas maltophilia ( 40324 ),Stenotrophomonas ( 40323 ),26717,6236,7807,4.76,4.65,1077.00,1078.97,2.61,2.58,426.99,441.44
Viruses,Pseudomonas phage Pf1 ( 10871 ),Inovirus ( 10861 ),1861,54,18,99.00,34.35,0.55,0.55,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Stenotrophomonas phage Smp131 ( 1168563 ),P2likevirus ( 140410 ),1168,184,11,99.00,6.34,1.86,1.86,0.00,0.00,0.00,0.00
Bacteria,Pseudomonas sp. M18 ( 228095 ),Pseudomonas ( 286 ),256,76,16947,100.00,2.88,0.44,2463.63,99.00,3.99,0.33,1191.96
Bacteria,Stenotrophomonas sp. LMG 10996 ( 487716 ),Stenotrophomonas ( 40323 ),101,21,7807,100.00,4.65,0.22,1078.97,0.00,2.58,0.00,441.44
Bacteria,Pseudomonas sp. 593 ( 633276 ),Pseudomonas ( 286 ),94,32,16947,100.00,2.88,0.33,2463.63,0.00,3.99,0.00,1191.96
Bacteria,Pseudomonas composti ( 658457 ),Pseudomonas ( 286 ),74,21,16947,99.00,2.88,0.11,2463.63,100.00,3.99,0.11,1191.96
Bacteria,Stenotrophomonas sp. MACL13A ( 420824 ),Stenotrophomonas ( 40323 ),50,10,7807,100.00,4.65,0.11,1078.97,0.00,2.58,0.00,441.44
Bacteria,Stenotrophomonas sp. CH34 ( 1133650 ),Stenotrophomonas ( 40323 ),50,10,7807,100.00,4.65,0.11,1078.97,0.00,2.58,0.00,441.44
Bacteria,Pseudomonas otitidis ( 319939 ),Pseudomonas ( 286 ),44,11,16947,2.13,2.88,0.11,2463.63,100.00,3.99,0.11,1191.96
Bacteria,Pseudomonas denitrificans ( 43306 ),Pseudomonas ( 286 ),33,8,16947,0.36,2.88,3.50,2463.63,3.76,3.99,1.97,1191.96
Bacteria,Pseudomonas sp. DHT2 ( 416851 ),Pseudomonas ( 286 ),31,10,16947,100.00,2.88,0.11,2463.63,0.00,3.99,0.00,1191.96
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),18,6,6,2.78,2.78,2.41,2.41,0.00,0.00,0.00,0.00
Mammalia,Pongo pygmaeus ( 9600 ),Pongo ( 9599 ),13,6,1,54.90,2.18,0.11,0.55,0.00,0.00,0.00,0.00
Bacteria,Pseudomonas knackmussii ( 65741 ),Pseudomonas ( 286 ),11,2,16947,0.07,2.88,2.08,2463.63,2.05,3.99,1.31,1191.96
Amoebozoa,Entamoeba dispar ( 46681 ),Entamoeba ( 5758 ),10,1,1,8.00,6.10,0.22,0.22,0.00,0.00,0.00,0.00
Bacteria,Stenotrophomonas rhizophila ( 216778 ),Stenotrophomonas ( 40323 ),8,3,7807,-0.10,4.65,1.53,1078.97,1.94,2.58,1.86,441.44
Bacteria,Pseudomonas entomophila ( 312306 ),Pseudomonas ( 286 ),4,1,16947,-0.35,2.88,0.11,2463.63,0.64,3.99,1.75,1191.96
Mammalia,Rhinopithecus roxellana ( 61622 ),Rhinopithecus ( 542827 ),3,0,0,6.00,6.00,0.11,0.11,0.00,0.00,0.00,0.00
Bacteria,Pseudomonas brassicacearum ( 930166 ),Pseudomonas ( 286 ),1,0,16947,-0.30,2.88,0.11,2463.63,0.93,3.99,0.55,1191.96
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),1,0,1,1.70,2.18,0.44,0.55,0.00,0.00,0.00,0.00
Mammalia,Camelus ferus ( 419612 ),Camelus ( 9836 ),1,0,0,5.15,2.44,0.11,0.11,0.00,0.00,0.00,0.00
