Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Enterobacter cloacae ( 550 ),Enterobacter ( 547 ),55332,7292,10765,10.32,7.59,691.57,719.74,3.44,7.36,44.26,182.64
Bacteria,Enterobacter hormaechei ( 158836 ),Enterobacter ( 547 ),8875,1204,10765,2.90,7.59,2.55,719.74,52.58,7.36,22.78,182.64
Viruses,Human herpesvirus 5 ( 10359 ),Cytomegalovirus ( 10358 ),2114,32,21,50.52,0.04,0.22,0.22,99.00,99.00,0.22,0.22
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),509,388,119,4.74,1.43,44.73,46.16,11.38,1.17,15.53,17.43
Bacteria,Enterobacter asburiae ( 61645 ),Enterobacter ( 547 ),319,42,10765,1.86,7.59,21.22,719.74,0.98,7.36,2.80,182.64
Bacteria,Enterobacter sp. 638 ( 399742 ),Enterobacter ( 547 ),223,30,10765,0.06,7.59,0.60,719.74,2.89,7.36,10.48,182.64
Bacteria,Enterobacter sp. SRE01 ( 1488277 ),Enterobacter ( 547 ),131,17,10765,100.00,7.59,0.17,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter xiangfangensis ( 1296536 ),Enterobacter ( 547 ),129,17,10765,99.00,7.59,0.17,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. CD01 ( 1233073 ),Enterobacter ( 547 ),98,12,10765,100.00,7.59,0.13,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. ECC_48 ( 547703 ),Enterobacter ( 547 ),98,12,10765,100.00,7.59,0.13,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter cancerogenus ( 69218 ),Enterobacter ( 547 ),69,9,10765,40.60,7.59,0.22,719.74,0.68,7.36,0.65,182.64
Bacteria,Enterobacter sp. CN1 ( 866623 ),Enterobacter ( 547 ),65,8,10765,100.00,7.59,0.09,719.74,0.00,7.36,0.00,182.64
Panarthropoda,Plutella xylostella ( 51655 ),Plutella ( 51654 ),45,10,10,4.28,4.28,2.50,2.50,0.00,0.00,0.00,0.00
Bacteria,Enterobacter lignolyticus ( 1334193 ),Enterobacter ( 547 ),37,5,10765,0.65,7.59,0.73,719.74,4.62,7.36,0.99,182.64
Bacteria,Enterobacter sp. ECC_124 ( 547632 ),Enterobacter ( 547 ),32,4,10765,100.00,7.59,0.04,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. CCF01Et-UAEM ( 1035281 ),Enterobacter ( 547 ),32,4,10765,100.00,7.59,0.04,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. ECC_60 ( 547717 ),Enterobacter ( 547 ),32,4,10765,100.00,7.59,0.04,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. Ceibso-001 ( 505271 ),Enterobacter ( 547 ),32,4,10765,100.00,7.59,0.04,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. enrichment culture clone nf1B6 ( 1267571 ),Enterobacter ( 547 ),32,4,10765,100.00,7.59,0.04,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter sp. WAB1897 ( 370116 ),Enterobacter ( 547 ),32,4,10765,100.00,7.59,0.04,719.74,0.00,7.36,0.00,182.64
Bacteria,Enterobacter aerogenes ( 548 ),Enterobacter ( 547 ),16,2,10765,1.09,7.59,1.64,719.74,0.58,7.36,0.60,182.64
Panarthropoda,Pediculus humanus ( 121225 ),Pediculus ( 121222 ),10,1,1,7.83,7.83,0.17,0.17,0.00,0.00,0.00,0.00
Bacteria,Leclercia adecarboxylata ( 83655 ),Leclercia ( 83654 ),5,0,0,18.62,7.21,0.04,0.04,-0.17,-0.17,0.09,0.09
Bacteria,Neisseria subflava ( 28449 ),Neisseria ( 482 ),4,12,9,19.39,0.28,0.13,14.02,14.09,0.38,0.69,9.27
Bacteria,Neisseria flavescens ( 484 ),Neisseria ( 482 ),4,11,9,8.63,0.28,0.26,14.02,1.94,0.38,4.87,9.27
Bacteria,Neisseria polysaccharea ( 489 ),Neisseria ( 482 ),2,8,9,100.00,0.28,0.09,14.02,0.00,0.38,0.00,9.27
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),2,8,9,3.78,0.28,2.29,14.02,-0.16,0.38,0.04,9.27
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),2,8,9,1.29,0.28,6.25,14.02,0.01,0.38,1.08,9.27
Bacteria,Avibacterium paragallinarum ( 728 ),Avibacterium ( 292486 ),2,0,0,9.42,5.42,0.04,0.04,0.07,0.07,0.04,0.04
Bacteria,Neisseria perflava ( 33053 ),Neisseria ( 482 ),1,4,9,3.63,0.28,0.17,14.02,100.00,0.38,0.04,9.27
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),1,5,9,2.15,0.28,2.46,14.02,-0.10,0.38,0.13,9.27
Panarthropoda,Ceratosolen solmsi ( 142686 ),Ceratosolen ( 84507 ),1,0,0,2.79,2.79,0.17,0.17,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,2.51,2.51,0.09,0.09,0.00,0.00,0.00,0.00
