Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),17797,297,500,5.45,5.39,6.85,6.85,79.30,67.70,3.28,3.28
Fungi,Pichia kudriavzevii ( 4909 ),Pichia ( 4919 ),14,7,0,99.00,1.92,0.07,0.07,0.00,0.00,0.00,0.00
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),6,23,1,8.78,0.30,2.09,2.38,6.74,0.16,0.82,0.89
Fungi,Aspergillus oryzae ( 5062 ),Aspergillus ( 5052 ),4,13,1,2.09,0.36,5.74,7.30,0.78,-0.09,1.64,1.86
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),3,0,0,4.60,4.60,0.15,0.15,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),2,1,2,1.37,1.37,1.34,1.34,0.72,0.72,0.07,0.07
Fungi,Aspergillus flavus ( 5059 ),Aspergillus ( 5052 ),1,7,1,2.61,0.36,1.56,7.30,15.16,-0.09,0.22,1.86
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),0,1,1,2.05,0.30,0.30,2.38,6.91,0.16,0.07,0.89
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.65,0.65,0.60,0.60,0.00,0.00,0.00,0.00
Mammalia,Callithrix jacchus ( 9483 ),Callithrix ( 9481 ),0,0,0,1.20,1.20,0.07,0.07,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.36,0.35,0.15,0.15,0.00,0.00,0.00,0.00
Bacteria,Comamonadaceae bacterium B1 ( 1458426 ),No genus ( -1 ),0,0,0,-0.31,0.00,0.07,0.00,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.30,0.00,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Acidithiobacillus phage AcaML1 ( 1229761 ),No genus ( -1 ),0,0,0,-0.15,0.00,0.07,0.00,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Xylella phage Salvo ( 1415147 ),No genus ( -1 ),0,0,0,5.96,0.00,0.07,0.00,0.00,0.00,0.00,0.00
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,-0.05,-0.05,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Francisella tularensis ( 263 ),Francisella ( 262 ),0,0,0,0.05,-0.12,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Delftia acidovorans ( 80866 ),Delftia ( 80865 ),0,0,0,-0.11,-0.11,0.07,0.15,0.00,0.00,0.00,0.00
Bacteria,Acinetobacter baumannii ( 470 ),Acinetobacter ( 469 ),0,0,0,-0.12,-0.13,0.07,0.22,0.00,-0.13,0.00,0.15
Bacteria,Acinetobacter calcoaceticus ( 471 ),Acinetobacter ( 469 ),0,0,0,-0.13,-0.13,0.07,0.22,0.00,-0.13,0.00,0.15
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,-0.13,-0.14,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Acinetobacter oleivorans ( 1148157 ),Acinetobacter ( 469 ),0,0,0,-0.14,-0.13,0.07,0.22,0.00,-0.13,0.00,0.15
Bacteria,Sphingopyxis alaskensis ( 117207 ),Sphingopyxis ( 165697 ),0,0,0,-0.13,-0.16,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Delftia sp. Cs1-4 ( 742013 ),Delftia ( 80865 ),0,0,0,-0.20,-0.11,0.07,0.15,0.00,0.00,0.00,0.00
Bacteria,Comamonas testosteroni ( 285 ),Comamonas ( 283 ),0,0,0,-0.15,-0.15,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Bifidobacterium bifidum ( 1681 ),Bifidobacterium ( 1678 ),0,0,0,-0.11,-0.21,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Microlunatus phosphovorus ( 29405 ),Microlunatus ( 29404 ),0,0,0,-0.16,-0.16,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Streptococcus sanguinis ( 1305 ),Streptococcus ( 1301 ),0,0,0,-0.16,-0.18,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Enterobacter cloacae ( 550 ),Enterobacter ( 547 ),0,0,0,-0.17,-0.19,0.07,0.15,0.00,0.00,0.00,0.00
Bacteria,Veillonella parvula ( 29466 ),Veillonella ( 29465 ),0,0,0,-0.18,-0.18,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Methylococcus capsulatus ( 414 ),Methylococcus ( 413 ),0,0,0,-0.18,-0.18,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Enterobacter asburiae ( 61645 ),Enterobacter ( 547 ),0,0,0,-0.18,-0.19,0.07,0.15,0.00,0.00,0.00,0.00
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),0,0,0,-0.13,-0.26,0.07,0.07,0.00,-0.34,0.00,0.07
Bacteria,Clostridium cellulovorans ( 1493 ),Clostridium ( 1485 ),0,0,0,0.21,-0.18,0.07,0.07,0.00,-0.31,0.00,0.07
Panarthropoda,Dendroctonus ponderosae ( 77166 ),Dendroctonus ( 77156 ),0,0,0,-0.14,-0.14,0.15,0.15,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium terpenotabidum ( 89154 ),Corynebacterium ( 1716 ),0,0,0,-0.18,-0.23,0.07,0.89,0.00,-0.15,0.00,0.74
Bacteria,Singulisphaera acidiphila ( 466153 ),Singulisphaera ( 466152 ),0,0,0,-0.22,-0.22,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Thauera sp. MZ1T ( 85643 ),Thauera ( 33057 ),0,0,0,-0.23,-0.22,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Mycobacterium sp. MCS ( 164756 ),Mycobacterium ( 1763 ),0,0,0,-0.27,-0.21,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Roseobacter denitrificans ( 2434 ),Roseobacter ( 2433 ),0,0,0,-0.17,-0.37,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Granulicella mallensis ( 940614 ),Granulicella ( 940557 ),0,0,0,-0.25,-0.25,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium aurimucosum ( 169292 ),Corynebacterium ( 1716 ),0,0,0,-0.27,-0.23,0.07,0.89,0.00,-0.15,0.00,0.74
Bacteria,Brevundimonas subvibrioides ( 74313 ),Brevundimonas ( 41275 ),0,0,0,-0.14,-0.16,0.22,0.22,0.00,-0.38,0.00,0.07
Bacteria,Psychrobacter sp. G ( 571800 ),Psychrobacter ( 497 ),0,0,0,-0.25,-0.27,0.07,0.07,0.00,-0.29,0.00,0.15
Fungi,Malassezia restricta ( 76775 ),Malassezia ( 55193 ),0,0,0,-0.28,-0.24,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Micrococcus luteus ( 1270 ),Micrococcus ( 1269 ),0,0,0,-0.18,-0.19,0.15,0.15,0.00,0.00,0.00,0.00
Bacteria,Nocardioides sp. JS614 ( 196162 ),Nocardioides ( 1839 ),0,0,0,-0.27,-0.28,0.07,0.07,0.00,0.00,0.00,0.00
Bacteria,Corynebacterium ureicelerivorans ( 401472 ),Corynebacterium ( 1716 ),0,0,0,-0.34,-0.23,0.07,0.89,0.00,-0.15,0.00,0.74
