	mBAL-202-DNA-B3	mBAL-202-DNA-TA1-B10	mBAL-203-DNA-B1	mBAL-203-DNA-TA1-B8	mBAL-204-DNA-B1	mBAL-204-DNA-TA1-B8	mBAL-205-DNA-B3	mBAL-205-DNA-TA1-B8	mBAL-208-DNA-B3	mBAL-208-DNA-TA1-B10	mBAL-209-DNA-B2	mBAL-209-DNA-TA1-B8	mBAL-211-DNA-B1	mBAL-211-DNA-TA1-B10	mBAL-212-DNA-B1	mBAL-212-DNA-TA1-ZYM-6717-B7	mBAL-213-DNA-B1	mBAL-213-DNA-TA1-B8	mBAL-214-DNA-B3	mBAL-214-DNA-TA1-ZYM-6717-B7	mBAL-215-DNA-B1	mBAL-215-DNA-TA1-B10	mBAL-216-DNA-B1	mBAL-216-DNA-TA1-B10	mBAL-217-DNA-B1	mBAL-217-DNA-TA1-B8	mBAL-218-DNA-B4	mBAL-218-DNA-TA1-B10	mBAL-220-DNA-B1	mBAL-220-DNA-TA1-B8	mBAL-221-DNA-B1	mBAL-221-DNA-TA1-B8	mBAL-225-DNA-B0	mBAL-225-DNA-TA1-ZYM-6717-B7	mBAL-226-DNA-B1	mBAL-226-DNA-TA1-B10	mBAL-227-DNA-B2	mBAL-227-DNA-TA1-B10	mBAL-228-DNA-B1	mBAL-228-DNA-TA1-B8	mBAL-229-DNA-B1	mBAL-229-DNA-TA1-B8	mBAL-232-DNA-B1	mBAL-232-DNA-TA1-ZYM-6717-B7	mBAL-234-DNA-B1	mBAL-234-DNA-TA1-B10	mBAL-235-DNA-B3	mBAL-235-DNA-TA1-B10	mBAL-236-DNA-B3	mBAL-236-DNA-TA1-QIA-6517-B7	mBAL-237-DNA-B3	mBAL-237-DNA-TA1-B8	mBAL-238-DNA-B3	mBAL-238-DNA-TA1-B10	mBAL-245-DNA-B3	mBAL-245-DNA-TA1-B8	mBAL-246-DNA-B3	mBAL-246-DNA-TA1-B8	mBAL-251-DNA-B1	mBAL-251-DNA-TA2-QIA-6517-B7	mBAL-252-DNA-B3	mBAL-252-DNA-TA1-ZYM-6717-B7	mBAL-254-DNA-B3	mBAL-254-DNA-TA1-QIA-6517-B7	mBAL-255-DNA-B1	mBAL-255-DNA-TA1-QIA-6517-B7	mBAL-256-DNA-B1	mBAL-256-DNA-TA2-QIA-6517-B7	mBAL-257-DNA-B0	mBAL-257-DNA-TA1-ZYM-6717-B7	mBAL-258-DNA-B2	mBAL-258-DNA-TA1-B10	mBAL-261-DNA-B3	mBAL-261-DNA-TA2-QIA-6517-B7	mBAL-263-DNA-B2	mBAL-263-DNA-TA1-B8	mBAL-268-DNA-B3	mBAL-268-DNA-TA2-QIA-6517-B7	mBAL-272-DNA-B3	mBAL-272-DNA-TA2-QIA-6517-B7	mBAL-273-DNA-B3	mBAL-273-DNA-TA1-ZYM-6717-B7	mBAL-274-DNA-B3	mBAL-274-DNA-TA1-ZYM-6717-B7	mBAL-278-DNA-B1	mBAL-278-DNA-TA2-QIA-6517-B7	mBAL-288-DNA-B3	mBAL-288-DNA-TA1-QIA-6117-B7	mBAL-289-DNA-B2	mBAL-289-DNA-TA1-B8	mBAL-290-DNA-B3	mBAL-290-DNA-TA1-B8	mBAL-295-DNA-B2	mBAL-295-DNA-TA1-QIA-6117-B7	mBAL-297-DNA-B4	mBAL-297-DNA-TA1-B8	mBAL-298-DNA-B3	mBAL-298-DNA-TA1-B8	mBAL-301-DNA-B2	mBAL-301-DNA-TA1-B10	mBAL-319-DNA-MB1-ZYM-6117-B7	mBAL-319-DNA-TA1-ZYM-6717-B7	mBAL-325-DNA-B6	mBAL-325-DNA-TA1-B8	mBAL-331-DNA-B6	mBAL-331-DNA-TA1-B10
Proteobacteria	0.0	0.12598425196850394	0.8269230769230769	0.0001843850757722994	1.0	0.29545454545454547	0.675	1.0	0.441443399574166	0.0	0.928036631396572	0.9432213723533976	0.2838709677419355	0.12537313432835823	0.017171717171717175	0.2902825637491385	0.9974597798475867	0.9937153053132435	0.3339587242026265	0.48435326842837284	0.2749749495973826	0.13523250542791013	0.08045977011494251	0.018827959519887034	0.02499431947284708	0.014151336052609678	0.0	0.13795731707317074	0.6252779836916235	0.04452554744525548	0.1957928802588997	0.17065754465982516	0.010947168015230843	0.07058823529411763	0.8194444444444444	0.14173228346456693	0.8826530003937155	0.1463543734286092	0.40074906367041196	0.0971223021582734	0.38663053297199634	0.2469320562705777	0.9756680768321203	0.9424240914638703	0.7234042553191489	0.25748502994011974	0.1811460258780037	0.0	0.9477901894123362	0.9529360017594019	0.8319990440912893	0.7854452515469464	0.007259528130671508	0.0005299417064122948	0.43356643356643354	0.24807133553752125	0.5233942803563056	0.8086816720257235	0.9088846220980974	0.6141037241152397	0.4447284345047923	0.16544579321892017	0.9934640522875817	1.0	0.1442541042112777	0.06786774490736006	0.7891986062717771	1.0	0.9764437689969605	0.9220843672456576	0.8735632183908046	0.25		0.07914338919925512	0.35119047619047616	0.2939455505891915	0.9992750339827821	0.9996608782412754	0.0	0.004913848117421826	0.0838709677419355	0.009585889570552147	0.9913291684618698	0.9646577481090685	0.9949030157157015	0.9920815632965166	0.03383458646616542	0.038253825382538256	0.006449615602910067	0.0	0.7002457002457001	0.7971120900636318	0.8660952243751351	0.48837209302325585	0.9495827115459018	0.9040383966854556	0.9838705586974716	0.9845825975765693	0.4687467060187627	0.5000000000000001	0.19030732860520083	0.018478260869565215	0.16666666666666666	0.5	0.11157024793388433	0.02448979591836735
Firmicutes	0.9915223000368596	0.0	0.0	0.9928637992295695	0.0	0.0	0.049999999999999996	0.0	0.13513573456352027	0.9988974062795337	0.06441433079636162	0.05677862764660237	0.7161290322580646	0.25074626865671645	0.9383838383838384	0.6452101998621641	0.0007257771864037739	0.005452022204599524	0.4495309568480302	0.39429763560500686	0.4224524042350271	0.41149524014029076	0.4865900383141762	0.3217227582960697	0.946603044762554	0.9746638111742582	0.4	0.25990853658536583	0.041512231282431436	0.06934306569343066	0.6440129449838188	0.5735461801596351	0.983341266063779	0.6705882352941176	0.09027777777777778	0.14173228346456693	0.07142850591850676	0.6747386529045919	0.19662921348314616	0.5000000000000001	0.5013550135501355	0.5381622268781802	0.02430564679296844	0.0573392781527885	0.19148936170212766	0.6347305389221557	0.5101663585951941	0.5	0.0007285089849441476	0.001319551352540136	0.15617158561357383	0.20406241592682278	0.7045372050816697	0.7993287405052114	0.4811188811188811	0.6546438232642021	0.11064228785747778	0.06442351860358292	0.03456100541106652	0.07554134364268238	0.32715654952076684	0.8090205106739222	0.0	0.0	0.7331192005710206	0.6051540587572937	0.02787456445993031	0.0	0.007123860182370814	0.003473945409429281	0.0	0.75		0.08659217877094971	0.3511904761904761	0.326046322633076	0.0	6.165850158630507e-05	0.9076682316118936	0.9206445437141035	0.7477079796264856	0.9183282208588958	0.005008616975441619	0.019837958601383536	0.002548492142149228	0.00173322005097706	0.9661654135338347	0.9617461746174617	0.9875651411175894	0.9948938290055421	0.10319410319410319	0.049437102300538424	0.04617157674854139	0.023255813953488372	0.009467749958547515	0.011899600134894255	0.012299967031016202	0.01296961578274372	0.20522820702013272	0.3324263038548753	0.01103230890464933	0.006521739130434781	0.39583333333333337	0.0	0.41528925619834717	0.6653061224489796
Actinobacteria	0.008477699963140435	0.0	0.05769230769230769	0.005337200436544126	0.0	0.10227272727272727	0.049999999999999996	0.0	0.3693665720369056	0.0	0.0007425283088917765	0.0	0.0	0.06268656716417911	0.019191919191919194	0.03225361819434872	0.0014515543728075477	0.0002775574940523394	0.176360225140713	0.05806675938803894	0.024784807987154874	0.024586643762078593	0.011494252873563216	0.0	0.024312656214496704	0.007370802842375307	0.0	0.027439024390243903	0.11434395848776871	0.0832116788321168	0.08899676375404532	0.04561003420752565	0.005711565920990005	0.0	0.09027777777777778	0.48818897637795283	0.035714383979382654	0.17546645494243748	0.2790262172284645	0.14748201438848924	0.028003613369467027	0.04429811433702484	2.6276374911317236e-05	0.00016190499912820385	0.0	0.05389221556886228	0.2310536044362292	0.5	0.050024283632831464	0.04574444688805804	0.009439598518341493	0.0060532687651331735	0.019963702359346643	0.004416180886769124	0.07692307692307694	0.09648331830477908	0.3234177215189874	0.0399632521819017	0.003112817827427709	0.0018044788089411677	0.16357827476038342	0.017087245111523063	0.006535947712418301	0.0	0.012205567451820129	0.029404237895383364	0.14808362369337977	0.0	0.000664893617021276	0.0	0.12643678160919536	0.0		0.10242085661080075	0.16396103896103892	0.23047541649735875	0.00024165533907264763	3.0829250793152534e-05	0.018779342723004695	0.02259093809827696	0.15042444821731749	0.06384202453987729	0.0005924170616113743	0.0019918710128933267	0.001274246071074614	0.00237892948173322	0.0	0.0	0.0034827924255714368	0.0021794632293418025	0.02948402948402948	0.006363191385217816	0.06158611251170497	0.06976744186046512	0.0005692809373790975	0.0007106036517801229	0.0030179300550328414	0.0021311575229860575	0.2996732370612415	0.13718820861678005	0.136327817178881	0.006521739130434781	0.04166666666666667	0.0	0.13016528925619836	0.05306122448979592
Bacteroidetes	0.0	0.0	0.0	0.00012458451065695906	0.0	0.0	0.0	0.0	0.036036195883605404	0.0	0.0	0.0	0.0	0.4358208955223881	0.008080808080808083	0.0	0.0	0.0002775574940523394	0.030393996247654795	0.03929068150208622	0.2742747455724167	0.424498365662205	0.16091954022988506	0.03436102612379384	0.0022722108611679163	0.001725403540104281	0.0	0.4032012195121952	0.16679021497405486	0.7773722627737227	0.05339805825242719	0.19308247814519192	0.0	0.0	0.0	0.09448818897637795	0.0	0.0003969829297340215	0.09550561797752813	0.2302158273381295	0.04697380307136405	0.08290930859024243	0.0	0.0	0.08510638297872342	0.0	0.051756007393715345	0.0	0.0	0.0	0.001911817421436252	0.0039009954264191565	0.05045372050816697	0.027450980392156873	0.0	0.0004007614467488228	0.01276371308016878	0.08141938447404685	0.05166695758422066	0.2843776347446998	0.05686900958466455	0.0030496920409017535	0.0	0.0	0.10499643112062812	0.2875934077182926	0.013937282229965155	0.0	0.014722644376899682	0.07096774193548389	0.0	0.0		0.0148975791433892	0.10714285714285714	0.10719219829337664	0.0	6.165850158630507e-05	0.03599374021909234	0.017740906190172302	0.005772495755517827	0.004217791411042945	0.002638948728996122	0.011251379505262307	0.0	0.0020730671197960915	0.0	0.0	0.002012280068107941	0.0021794632293418025	0.13022113022113022	0.13215859030837004	0.0006722850488607171	0.023255813953488372	0.03306251036312389	0.07339090427325724	0.0	4.8712171953967026e-05	0.006429851375566562	0.0054421768707483	0.0	0.0	0.0	0.0	0.18388429752066116	0.1795918367346939
Ascomycota	0.0	0.09448818897637795	0.11538461538461538	0.0012408617261433122	0.0	0.6022727272727273	0.049999999999999996	0.0	0.009009048970901351	0.0011025937204662396	0.0	0.0	0.0	0.0	0.0030303030303030307	0.03225361819434872	0.0	0.0	0.0007504690431519702	0.00521557719054242	0.0	0.00011929472955884808	0.0	0.0	0.0	5.297291570495601e-05	0.6	0.16158536585365854	0.031134173461823577	0.0	0.0	0.005701254275940706	0.0	0.2588235294117647	0.0	0.13385826771653545	0.0	0.0003969829297340215	0.004681647940074908	0.0	0.0	0.0	0.0	7.472538421301716e-05	0.0	0.05389221556886228	0.0	0.0	0.0007285089849441476	0.0	0.0	0.0005380683346785044	0.2159709618874773	0.1625507860801979	0.004195804195804196	0.0004007614467488228	0.008509142053445854	0.0	0.00043637633094780967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013937282229965155	0.0	0.0	0.0	0.0	0.0		0.0	0.001623376623376623	0.0	0.0	0.0	0.009389671361502348	0.0026483726866624122	0.002037351443123939	0.0013420245398773007	0.0	0.00010766870339963928	0.0	0.00033984706881903137	0.0	0.0	0.0	0.0007472445357743322	0.00737100737100737	0.0024473813020068525	0.010060265552594302	0.0	4.974299452827064e-05	6.624271330153688e-05	0.0	0.0	0.0039000737851797177	0.0	0.6540583136327817	0.9684782608695651	0.375	0.5	0.11983471074380167	0.07755102040816328
other	0.0	0.5590551181102362	0.0	0.0	0.0	0.0	0.17500000000000002	0.0	0.0	0.0	0.0060639811892828415	0.0	0.0	0.0	0.0	0.0	0.00036288859320188693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004254571026722927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001791380898761389	0.0	0.0	0.0010448328267477194	0.003473945409429281	0.0	0.0		0.7169459962756052	0.0	0.0	0.00024165533907264763	0.0001541462539657627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007347115176834978	0.3953488372093023	1.6580998176090215e-05	0.0002589487883605532	0.0006847404326545104	0.00026791694574681863	0.008748814166754501	0.021315192743764175	0.0	0.0	0.0	0.0	0.03512396694214876	0.0
Fusobacteria	0.0	0.0	0.0	0.0002491690213139181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12537313432835823	0.0	0.0	0.0	0.0002775574940523394	0.003001876172607881	0.01877607788595271	0.0013521181171755217	0.0020995872402357263	0.26053639846743293	0.6250882560602495	0.0011361054305839581	0.0013016202144646332	0.0	0.005335365853658537	0.0	0.018978102189781024	0.01779935275080906	0.011402508551881413	0.0	0.0	0.0	0.0	0.0	0.0009262935027127168	0.009363295880149817	0.025179856115107917	0.023486901535682024	0.060760251421730006	0.0	0.0	0.0	0.0	0.025878003696857672	0.0	0.0	0.0	0.0	0.0	0.001814882032667877	0.004946122593181419	0.004195804195804196	0.0	0.0	0.005512172714745062	0.0009018444172921399	0.022573978490201325	0.0076677316293929714	0.004858578006338578	0.0	0.0	0.004068522483940042	0.004017811444364829	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.02164502164502164	0.04087769199512392	0.0	0.0	0.028169014084507043	0.030121250797702618	0.002037351443123939	0.0013420245398773007	0.0002692804825506247	0.0016957820785443187	0.0	0.0013933729821580284	0.0	0.0	0.0	0.0	0.02948402948402948	0.010034263338228093	0.0	0.0	0.004847178466810373	0.00757575757575758	0.0	0.0	0.001370296194792874	0.0036281179138322	0.0	0.0	0.0	0.0	0.0	0.0
Basidiomycota	0.0	0.1889763779527559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037126415444588826	0.0	0.0	0.0	0.0030303030303030307	0.0	0.0	0.0	0.0015009380863039404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005102054854197523	0.0	0.009363295880149817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007285089849441476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008509142053445854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002037351443123939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002016855146582151	0.0	0.0	6.624271330153688e-05	0.0	0.0	0.0	0.0	0.0027580772261623326	0.0	0.020833333333333336	0.0	0.0	0.0
Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009009048970901351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001617712747334999	0.0014792546465297162	0.0	0.0	0.0	0.0004691886819581817	0.0	0.0022865853658536584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003969829297340215	0.0	0.0	0.004516711833785004	0.025441484585453453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010598834128245896	0.0	0.0	0.0	0.0	0.00043637633094780967	0.0013109461432478566	0.0	0.0002690904741972135	0.0	0.0	0.0013561741613133476	0.0043504964684205165	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.001462819991873222	0.0	0.0	0.0	0.000893426930440332	0.002037351443123939	0.0013420245398773007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024473813020068525	0.0	0.0	0.0018183827999778937	0.0015356265356265364	0.0	0.0	0.001264888795193422	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcus-Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007504690431519702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020941438102297996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005102054854197523	0.0	0.0	0.0	0.004516711833785004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069686411149825775	0.0	0.0	0.0	0.0	0.0		0.0	0.001623376623376623	0.0	0.0	3.0829250793152534e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033614252443035855	0.0	3.316199635218043e-05	0.0	0.0	0.0	0.001370296194792874	0.0	0.0	0.0	0.0	0.0	0.002066115702479339	0.0
